Unnamed: 0,sentence,id,phrase,sentiment,fine,coarse,Predicted_Label,Flag
0,"The Rock is destined to be the 21st Century's new `` Conan '' and that he's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",226166.0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",0.69444,positive,positive,negative,0
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson's expanded vision of J.R.R. Tolkien's Middle-earth .,226300.0,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,0.8333299999999999,very positive,positive,negative,0
63,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",225801.0,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",0.625,positive,positive,positive,1
64,You'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,14646.0,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,0.5,neutral,neutral,neutral,1
65,Yet the act is still charming here .,14644.0,Yet the act is still charming here .,0.72222,positive,positive,positive,1
66,"Whether or not you're enlightened by any of Derrida's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",227114.0,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",0.8333299999999999,very positive,positive,positive,0
70,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,224508.0,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,0.875,very positive,positive,positive,0
74,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,225402.0,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,0.72222,positive,positive,positive,1
84,a screenplay more ingeniously constructed than `` Memento '',228134.0,a screenplay more ingeniously constructed than `` Memento '',0.8333299999999999,very positive,positive,negative,0
133,`` Extreme Ops '' exceeds expectations .,227472.0,`` Extreme Ops '' exceeds expectations .,0.73611,positive,positive,neutral,0
134,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",223512.0,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",0.90278,very positive,positive,positive,0
135,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,227271.0,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,0.44444,neutral,neutral,positive,0
136,Dramas like this make it human .,223193.0,Dramas like this make it human .,0.80556,very positive,positive,positive,0
137,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",222105.0,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",0.44444,neutral,neutral,positive,0
138,"Still , this flick is fun , and host to some truly excellent sequences .",225973.0,"Still , this flick is fun , and host to some truly excellent sequences .",0.81944,very positive,positive,very positive,1
218,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,222512.0,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,0.75,positive,positive,positive,1
233,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,227310.0,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,0.61111,positive,positive,positive,1
345,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,225498.0,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,0.44444,neutral,neutral,negative,0
388,Absorbing character study by Andre Turpin .,222172.0,Absorbing character study by Andre Turpin .,0.81944,very positive,positive,positive,0
392,"If you love reading and\/or poetry , then by all means check it out .",223986.0,"If you love reading and\/or poetry , then by all means check it out .",0.77778,positive,positive,positive,1
393,You'll probably love it .,227266.0,You 'll probably love it .,0.81944,very positive,positive,neutral,0
433,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",227483.0,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",0.63889,positive,positive,neutral,0
434,near the end takes on a whole other meaning .,234050.0,near the end takes on a whole other meaning .,0.55556,neutral,neutral,negative,0
451,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback's Heidegger - and Nietzsche-referencing dialogue .",223544.0,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",0.875,very positive,positive,negative,0
472,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,226173.0,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,0.55556,neutral,neutral,negative,0
473,"` Tadpole ' was one of the films so declared this year , but it's really more of The Next Pretty Good Thing .",227377.0,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",0.51389,neutral,neutral,neutral,1
478,The actors are fantastic .,226186.0,The actors are fantastic .,0.94444,very positive,positive,negative,0
479,They are what makes it worth the trip to the theatre .,226613.0,They are what makes it worth the trip to the theatre .,0.72222,positive,positive,positive,1
491,"( Taymor ) utilizes the idea of making Kahlo's art a living , breathing part of the movie , often catapulting the artist into her own work .",221083.0,"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",0.93056,very positive,positive,positive,0
492,This isn't a new idea .,226662.0,This is n't a new idea .,0.33333,negative,negative,negative,1
493,It's been done before but never so vividly or with so much passion .,224166.0,It 's been done before but never so vividly or with so much passion .,0.81944,very positive,positive,negative,0
519,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,221097.0,( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,0.77778,positive,positive,positive,1
589,"It's not life-affirming -- its vulgar and mean , but I liked it .",224218.0,"It 's not life-affirming -- its vulgar and mean , but I liked it .",0.56944,neutral,neutral,positive,0
675,What `` Empire '' lacks in depth it makes up for with its heart .,227043.0,What `` Empire '' lacks in depth it makes up for with its heart .,0.73611,positive,positive,neutral,0
697,"Light , silly , photographed with colour and depth , and rather a good time .",224612.0,"Light , silly , photographed with colour and depth , and rather a good time .",0.86111,very positive,positive,very positive,1
707,But tongue-in-cheek preposterousness has always been part of For the most part Wilde's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker's creative interference ...,222829.0,But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,0.68056,positive,positive,positive,1
